20240001,2025-06-10T17:20:36.054968
20240002,2025-06-10T17:20:46.510232
20240003,2025-06-10T17:20:58.972839
20240004,2025-06-10T17:21:09.235744
20240005,2025-06-10T17:21:20.714198
20240006,2025-06-10T17:21:31.348198
20240007,2025-06-10T17:21:43.093919
20240008,2025-06-10T17:21:55.219205
20240010,2025-06-10T17:22:15.684726
20240011,2025-06-10T17:22:27.103415
20240012,2025-06-10T17:22:39.698482
20240013,2025-06-10T17:22:51.467786
20240014,2025-06-10T17:23:00.703013
20240015,2025-06-10T17:23:10.927526
20240016,2025-06-10T17:23:22.468983
20240017,2025-06-10T17:23:34.241194
20240018,2025-06-10T17:23:44.058588
20240019,2025-06-10T17:23:53.885191
20240020,2025-06-10T17:24:04.233727
20240021,2025-06-10T17:24:16.124145
20240022,2025-06-10T17:24:26.405388
20240023,2025-06-10T17:24:37.302235
20240024,2025-06-10T17:24:49.824325
20240025,2025-06-10T17:25:00.801167
20240026,2025-06-10T17:25:12.685077
20240027,2025-06-10T17:25:24.104739
20240028,2025-06-10T17:25:33.381240
20240029,2025-06-10T17:25:46.562473
20240030,2025-06-10T17:25:59.012915
20240031,2025-06-10T17:26:09.467957
20240032,2025-06-10T17:26:17.990248
20240033,2025-06-10T17:26:29.737166
20240034,2025-06-10T17:26:39.690710
20240035,2025-06-10T17:26:51.545883
20240036,2025-06-10T17:27:03.850299
20240037,2025-06-10T17:27:13.415418
20240038,2025-06-10T17:27:24.762289
20240039,2025-06-10T17:27:35.416382
20240040,2025-06-10T17:27:46.244830
20240041,2025-06-10T17:27:57.895767
20240042,2025-06-10T17:28:07.126185
20240043,2025-06-10T17:28:16.694891
20240044,2025-06-10T17:28:28.313382
20240045,2025-06-10T17:28:40.886593
20240046,2025-06-10T17:28:54.083849
20240047,2025-06-10T17:29:05.498614
20240048,2025-06-10T17:29:16.981354
20240051,2025-06-10T17:29:55.061054
20240052,2025-06-10T17:30:07.099116
20240053,2025-06-10T17:30:17.902916
20240054,2025-06-10T17:30:28.776994
20240055,2025-06-10T17:30:40.880775
20240056,2025-06-10T17:30:52.834610
20240057,2025-06-10T17:31:03.676335
20240058,2025-06-10T17:31:15.062785
20240059,2025-06-10T17:31:26.440292
20240060,2025-06-10T17:31:37.283799
20240061,2025-06-10T17:31:49.175314
20240062,2025-06-10T17:32:01.402283
20240063,2025-06-10T17:32:12.711842
20240064,2025-06-10T17:32:23.812947
20240065,2025-06-10T17:32:35.384691
20240066,2025-06-10T17:32:44.429752
20240067,2025-06-10T17:32:54.424377
20240068,2025-06-10T17:33:05.549463
20240069,2025-06-10T17:33:15.564844
20240070,2025-06-10T17:33:26.519850
20240071,2025-06-10T17:33:37.538200
20240072,2025-06-10T17:33:48.914922
20240073,2025-06-10T17:33:59.159830
20240074,2025-06-10T17:34:09.901954
20240075,2025-06-10T17:34:20.790117
20240076,2025-06-10T17:34:31.092809
20240077,2025-06-10T17:34:44.846458
20240078,2025-06-10T17:34:55.787992
20240079,2025-06-10T17:35:07.821065
20240080,2025-06-10T17:35:18.882246
20240081,2025-06-10T17:35:31.892988
20240082,2025-06-10T17:35:45.459383
20240084,2025-06-10T17:36:04.182585
20240085,2025-06-10T17:36:19.295421
20240086,2025-06-10T17:36:30.806893
20240087,2025-06-10T17:36:42.136657
20240088,2025-06-10T17:36:54.812331
20240089,2025-06-10T17:37:07.437454
20240090,2025-06-10T17:37:22.167930
20240091,2025-06-10T17:37:34.026819
20240093,2025-06-10T17:37:51.529446
20240094,2025-06-10T17:38:04.155340
